// HASH_VALUE EFC920A759BAC04B
// INDEX 0
tribe_declare_war_title	[Aussenposten mit Gewalt einnehmen.]

// HASH_VALUE 3E79AA3ECA2606E6
// INDEX 586
emote_great_target_m	[&EMT&$a$ sagt $t$ wie großartig er ist.]

// HASH_VALUE ECCD864C558B02DC
// INDEX 587
emote_great_target_f	[&EMT&$a$ sagt $t$ wie großartig sie ist.]

// HASH_VALUE 264AFDEFCEBB8793
// INDEX 588
emote_great_nobody	[&EMT&$a$ grinst. Das ist großartig!]

// HASH_VALUE 5778F87A75129F13
// INDEX 589
emote_great_self	[&EMT&$a$ ist großartig. Und du?]

// HASH_VALUE 0082B8AFA2819B19
// INDEX 590
emote_grin_target	[&EMT&$a$ grinst $t$ an.]

// HASH_VALUE D2B3CCF53BC1A569
// INDEX 591
emote_grin_nobody	[&EMT&$a$ grinst breit.]

// HASH_VALUE 1E60F24F26D225A3
// INDEX 592
emote_grin_self	[&EMT&$a$ grinst einfach so und jeder wundert sich.]

// HASH_VALUE 518280D3386ADD14
// INDEX 593
emote_grumpy_target	[&EMT&$a$ schaut $t$ mürrisch an.]

// HASH_VALUE 6DDE82F30ED2568A
// INDEX 594
emote_grumpy_nobody	[&EMT&$a$ blickt finster und mürrisch drein.]

// HASH_VALUE 9DEF112F916361A9
// INDEX 595
emote_grumpy_self	[&EMT&$a$ ist nicht in bester Stimmung. Sicher ob Ihr weiter machen wollt?]

// HASH_VALUE 10E244D6F9C9771A
// INDEX 596
emote_guilty_target	[&EMT&$a$ schaut $t$ schuldig an.]

// HASH_VALUE 62D4E48C289A4A8C
// INDEX 597
emote_guilty_nobody	[&EMT&$a$ war es.]

// HASH_VALUE 90381BF00537342C
// INDEX 598
emote_guilty_self	[&EMT&$a$ gibt es zu. "Ich war's!"]

// HASH_VALUE 94F8FC0B12209FCD
// INDEX 599
emote_happy_target	[&EMT&$a$ ist glücklich über $t$.]

// HASH_VALUE 15169CEED90053CD
// INDEX 600
emote_happy_nobody	[&EMT&$a$ ist glücklich.]

// HASH_VALUE 831E7819E43A3186
// INDEX 601
emote_happy_self_m	[&EMT&$a$ ist über sich selbst glücklich.]

// HASH_VALUE 831E7819E43A3186
// INDEX 602
emote_happy_self_f	[&EMT&$a$ ist über sich selbst glücklich.]

// HASH_VALUE 96E3F82B721A7359
// INDEX 603
emote_hardsilence_target	[&EMT&$a$ straft $t$ mit Schweigen.]

// HASH_VALUE 155704218188D21B
// INDEX 604
emote_hardsilence_nobody	[&EMT&$a$ blickt still umher.]

// HASH_VALUE BBD77B4E9C52A8CF
// INDEX 605
emote_hardsilence_self	[&EMT&$a$ fällt es schwer still zu sein.]

// HASH_VALUE 1342C5A271837A1F
// INDEX 606
emote_haughty_target_m	[&EMT&$a$ rümpft vor $t$ seine Nase.]

// HASH_VALUE D1F1F48AF5B533DA
// INDEX 607
emote_haughty_target_f	[&EMT&$a$ rümpft vor $t$ ihre Nase.]

// HASH_VALUE 9F4417E354F0C6C9
// INDEX 608
emote_haughty_nobody	[&EMT&$a$ wirkt hochnäsig.]

// HASH_VALUE 42460C013B10E448
// INDEX 609
emote_haughty_self_m	[&EMT&$a$ lässt sich nicht auf dein Niveau herab.]

// HASH_VALUE 42460C013B10E448
// INDEX 610
emote_haughty_self_f	[&EMT&$a$ lässt sich nicht auf dein Niveau herab.]

// HASH_VALUE E9C20FDA0BD97A23
// INDEX 611
emote_helpful_target	[&EMT&$a$ versucht $t$ zu helfen.]

// HASH_VALUE 2628CF20F3E5D3CB
// INDEX 612
emote_helpful_nobody	[&EMT&$a$ ist hier um zu helfen.]

// HASH_VALUE C1D2142206232B44
// INDEX 613
emote_helpful_self_m	[&EMT&$a$ hilft sich selbst.]

// HASH_VALUE C1D2142206232B44
// INDEX 614
emote_helpful_self_f	[&EMT&$a$ hilft sich selbst.]

// HASH_VALUE 1C74C5751421AE64
// INDEX 615
emote_heroic_target	[&EMT&$a$ behauptet $t$ sei ein Held.]

// HASH_VALUE 53A9F97DD4E08B4E
// INDEX 616
emote_heroic_nobody	[&EMT&$a$ nimmt eine Heldenpose ein.]

// HASH_VALUE B5E52B60A7C3BC15
// INDEX 617
emote_heroic_self_m	[&EMT&$a$ rettet sich selbst wie ein richtiger Held.]

// HASH_VALUE B5E52B60A7C3BC15
// INDEX 618
emote_heroic_self_f	[&EMT&$a$ rettet sich selbst wie ein richtiger Held.]

// HASH_VALUE E1D17964EA77BA5A
// INDEX 619
emote_hiha_target	[&EMT&$a$ sagt zu $t$, "Huhu! Wie gehts dir?"]

// HASH_VALUE 52F5C8ECAC5C1DDF
// INDEX 620
emote_hiha_nobody	[&EMT&$a$ sagt "Hallo!".]

// HASH_VALUE 65325FE2BEC379D6
// INDEX 621
emote_hiha_self	[&EMT&$a$ winkt. Huhu!]

// HASH_VALUE 5588EFD215867294
// INDEX 622
emote_honest_target	[&EMT&$a$ ist ehrlich mit $t$.]

// HASH_VALUE BE7DEED5DBB8F936
// INDEX 623
emote_honest_nobody	[&EMT&$a$ ist ehrlich, vertrauenswürdig und sagt die Wahrheit.]

// HASH_VALUE 9DB4DBE7C2357E96
// INDEX 624
emote_honest_self_m	[&EMT&$a$ belügt sich nie.]

// HASH_VALUE 9DB4DBE7C2357E96
// INDEX 625
emote_honest_self_f	[&EMT&$a$ belügt sich nie.]

// HASH_VALUE 51C43544C76B74CD
// INDEX 626
emote_hopeful_target	[&EMT&$a$ schaut $t$ voller Hoffnung an.]

// HASH_VALUE 1318242010C6BEBC
// INDEX 627
emote_hopeful_nobody	[&EMT&$a$ ist voller Hoffnung.]

// HASH_VALUE 67B1D13F9688B121
// INDEX 628
emote_hopeful_self	[&EMT&$a$ hält an der Hoffnung fest.]

// HASH_VALUE 6D68C4908680C36C
// INDEX 629
emote_hopeless_target	[&EMT&$a$ denkt $t$ sei ohne Hoffnung.]

// HASH_VALUE CF62042913A6EBDB
// INDEX 630
emote_hopeless_nobody	[&EMT&$a$ hat keine Hoffnung.]

// HASH_VALUE 9744F3A1CB353A3A
// INDEX 631
emote_hopeless_self	[&EMT&$a$ jammert. Unser Schicksal ist besiegelt, es ist hoffnungslos!]

// HASH_VALUE 8C2F625F257361AA
// INDEX 632
emote_humble_target	[&EMT&$a$ ist zweifellos von $t$ erniedrigt worden.]

// HASH_VALUE A2F27C40061A8B5E
// INDEX 633
emote_humble_nobody	[&EMT&$a$ schaut erniedrigt drein.]

// HASH_VALUE 85A99DE8AD7E1DE9
// INDEX 634
emote_humble_self_m	[&EMT&$a$ ist zu erniedrigt, um darüber zu reden.]

// HASH_VALUE 85A99DE8AD7E1DE9
// INDEX 635
emote_humble_self_f	[&EMT&$a$ ist zu erniedrigt, um darüber zu reden.]

// HASH_VALUE 3FC258DC7325F350
// INDEX 636
emote_hungry_target	[&EMT&$a$ schaut $t$ hungrig an.]

// HASH_VALUE D1595E0DA835D4F7
// INDEX 637
emote_hungry_nobody	[&EMT&$a$ könnte eine ganze Yubo Herde verspeisen.]

// HASH_VALUE B79CAB949C4E3668
// INDEX 638
emote_hungry_self_m	[&EMT&$a$ ist so hungrig, dass er seine Ausrüstung aufessen könnte.]

// HASH_VALUE 77DC5ED95A2F366C
// INDEX 639
emote_hungry_self_f	[&EMT&$a$ ist so hungrig, dass sie ihre Ausrüstung aufessen könnte.]

// HASH_VALUE 60D88498B6F5CE17
// INDEX 640
emote_hurried_target	[&EMT&$a$ beeilt sich wirklich, $t$.]

// HASH_VALUE 90B6D44849397322
// INDEX 641
emote_hurried_nobody	[&EMT&$a$ beeilt sich gerade sehr.]

// HASH_VALUE 64A7E81E000762DD
// INDEX 642
emote_hurried_self	[&EMT&$a$ beeilt sich bereits.]

// HASH_VALUE CDE9EDF685E95F6F
// INDEX 643
emote_hurry_target	[&EMT&$a$ bittet $t$ sich zu beeilen.]

// HASH_VALUE 0044E993C579AB3E
// INDEX 644
emote_hurry_nobody	[&EMT&$a$ hat keine Zeit zu verlieren.]

// HASH_VALUE 9941E9F84FFB4BC3
// INDEX 645
emote_hurry_self	[&EMT&$a$ beeilt sich, die Leute warten schon.]

// HASH_VALUE 1EFAD9D3813F41BA
// INDEX 646
emote_hysterical_target	[&EMT&$a$ gibt $t$ eine Ohrfeige, da er hysterisch wurde.]

// HASH_VALUE 97934B2704B1574D
// INDEX 647
emote_hysterical_nobody	[&EMT&$a$ lacht hysterisch.]

// HASH_VALUE A0145BE7D9147547
// INDEX 648
emote_hysterical_self	[&EMT&$a$ wird hysterisch.]

// HASH_VALUE 23438F9DC341EC64
// INDEX 649
emote_imploring_target	[&EMT&$a$ fleht $t$ an, aufzuhören.]

// HASH_VALUE DEA4B69899748E62
// INDEX 650
emote_imploring_nobody	[&EMT&$a$ bettelt.]

// HASH_VALUE 184F1E5D63722DF4
// INDEX 651
emote_imploring_self	[&EMT&$a$ ist nicht gerade stolz darauf, zu betteln.]

// HASH_VALUE FE185E9B3EEB13D7
// INDEX 652
emote_indifferent_target	[&EMT&$a$ sagt $t$ die Dinge würden weder gut noch schlecht stehen.]

// HASH_VALUE 60037EEFE1B430A7
// INDEX 653
emote_indifferent_nobody	[&EMT&$a$ zuckt gleichgültig mit den Achseln.]

// HASH_VALUE DCB43B0F06955BFC
// INDEX 654
emote_indifferent_self	[&EMT&$a$ ist unparteiisch.]

// HASH_VALUE 2A272F2113BEB3AB
// INDEX 655
emote_indignant_target	[&EMT&$a$ kann es kaum glauben, dass du das gesagt hast, $t$.]

// HASH_VALUE 4BB91B1FF5CBA7FC
// INDEX 656
emote_indignant_nobody	[&EMT&$a$ stürmt entrüstet umher.]

// HASH_VALUE 5C324EE4AA96DE03
// INDEX 657
emote_indignant_self	[&EMT&$a$ ist ganz empört über das Gesprächsthema.]

// HASH_VALUE 8D5CC60938E47E41
// INDEX 658
emote_indulgent_target	[&EMT&$a$ gibt $t$ nach, ist ja schließlich nur Spaß.]

// HASH_VALUE 9ECE50CE51C68A24
// INDEX 659
emote_indulgent_nobody	[&EMT&$a$ lächelt nachsichtig.]

// HASH_VALUE 55BFF41B1662C229
// INDEX 660
emote_indulgent_self	[&EMT&$a$ gibt gutmütig nach.]

// HASH_VALUE 501240404196BB65
// INDEX 661
emote_innocent_target	[&EMT&$a$ schaut $t$ unschuldig an.]

// HASH_VALUE 623670CF79889AD0
// INDEX 662
emote_innocent_nobody	[&EMT&$a$ ist unschuldig.]

// HASH_VALUE D73B56E1B22A83B2
// INDEX 663
emote_innocent_self_m	[&EMT&$a$ rückt seinen Heiligenschein zurecht.]

// HASH_VALUE 749C92E230CB2499
// INDEX 664
emote_innocent_self_f	[&EMT&$a$ rückt ihren Heiligenschein zurecht.]

// HASH_VALUE 2BD819ED60B6CA97
// INDEX 665
emote_insecure_target	[&EMT&$a$ fühlt sich $t$ gegenüber unsicher.]

// HASH_VALUE BD0895F1A0990FDF
// INDEX 666
emote_insecure_nobody	[&EMT&$a$ könnte etwas Zuspruch gebrauchen.]

// HASH_VALUE 68F3AF9342798B12
// INDEX 667
emote_insecure_self_m	[&EMT&$a$ ist sich nicht so sicher.]

// HASH_VALUE 68F3AF9342798B12
// INDEX 668
emote_insecure_self_f	[&EMT&$a$ ist sich nicht so sicher.]

// HASH_VALUE C44A7DADB48C1288
// INDEX 669
emote_interested_target	[&EMT&$a$ interessiert was $t$ zu sagen hat.]

// HASH_VALUE EDEE7EF3A0E02FA1
// INDEX 670
emote_interested_nobody	[&EMT&$a$ bietet seine volle Aufmerksamkeit.]

// HASH_VALUE 6F7A5EF8B36B376E
// INDEX 671
emote_interested_self_m	[&EMT&$a$ interessiert sich für sich selbst.]

// HASH_VALUE 6F7A5EF8B36B376E
// INDEX 672
emote_interested_self_f	[&EMT&$a$ interessiert sich für sich selbst.]

// HASH_VALUE CE58BB361935460F
// INDEX 673
emote_jealous_target	[&EMT&$a$ ist eifersüchtig auf $t$.]

// HASH_VALUE F6B9D8A2DD84078F
// INDEX 674
emote_jealous_nobody	[&EMT&$a$ ist ganz gelb vor Eifersucht.]

// HASH_VALUE 4E79282EF3A5BF41
// INDEX 675
emote_jealous_self	[&EMT&$a$ brennt vor Eifersucht.]

// HASH_VALUE CCB5888FC5040112
// INDEX 676
emote_joyful_target	[&EMT&$a$ ist überglücklich mit $t$.]

// HASH_VALUE FAB3F81B454765EE
// INDEX 677
emote_joyful_nobody	[&EMT&$a$ ist überglücklich.]

// HASH_VALUE 74A5014DD8D941DA
// INDEX 678
emote_joyful_self	[&EMT&$a$ ist überwältigt vor Freude.]

// HASH_VALUE 1191C83C87894B17
// INDEX 679
emote_kind_target	[&EMT&$a$ lächelt $t$ freundlich an.]

// HASH_VALUE 16D54A0CA7752CB1
// INDEX 680
emote_kind_nobody	[&EMT&$a$ ist zu jedem freundlich. Warum auch nicht?]

// HASH_VALUE 564466B50AF41B1E
// INDEX 681
emote_kind_self	[&EMT&$a$ erinnert sich, dass Freundlichkeit immer bei sich selbst beginnt.]

// HASH_VALUE C3A8E44346E58B15
// INDEX 682
emote_lazy_target	[&EMT&$a$ bezeichnet $t$ als faul.]

// HASH_VALUE E04443E03BE88A2A
// INDEX 683
emote_lazy_nobody	[&EMT&$a$ faulenzt herum.]

// HASH_VALUE 3389D8FD3874C261
// INDEX 684
emote_lazy_self	[&EMT&$a$ ist etwas faul derzeit, versuch es später noch Mal.]

// HASH_VALUE EBD82442C6FA3E10
// INDEX 685
emote_loathing_target	[&EMT&$a$ verabscheut $t$ zutiefst.]

// HASH_VALUE 4CC4DBE91320AA4E
// INDEX 686
emote_loathing_nobody	[&EMT&$a$ hasst euch alle.]

// HASH_VALUE C20970ECA040F7D0
// INDEX 687
emote_loathing_self_m	[&EMT&$a$ kann sich selbst nicht ausstehen.]

// HASH_VALUE C20970ECA040F7D0
// INDEX 688
emote_loathing_self_f	[&EMT&$a$ kann sich selbst nicht ausstehen.]

// HASH_VALUE 91A230B8C7198766
// INDEX 689
emote_logical_target	[&EMT&$a$ findet $t$ sehr logisch.]

// HASH_VALUE 918AB5381644171C
// INDEX 690
emote_logical_nobody	[&EMT&$a$ sucht hier nach der Logik.]

// HASH_VALUE 3ED989F6F30B12D8
// INDEX 691
emote_logical_self_m	[&EMT&$a$ kommt ihm vollkommen logisch vor.]

// HASH_VALUE AF6EAEF736E278D1
// INDEX 692
emote_logical_self_f	[&EMT&$a$ kommt ihre vollkommen logisch vor.]

// HASH_VALUE AE9D44F9E83FF4C7
// INDEX 693
emote_lonely_target	[&EMT&$a$ behütet $t$ vor der Einsamkeit.]

// HASH_VALUE C14AB558B8A0E959
// INDEX 694
emote_lonely_nobody	[&EMT&$a$ könnte ein wenig Gesellschaft gebrauchen.]

// HASH_VALUE 154147CD73040080
// INDEX 695
emote_lonely_self_m	[&EMT&$a$ ist so einsam, dass er schon mit sich selbst spricht.]

// HASH_VALUE 50BCE07BB1D0C77A
// INDEX 696
emote_lonely_self_f	[&EMT&$a$ ist so einsam, dass sie schon mit sich selbst spricht.]

// HASH_VALUE A437138AD4614877
// INDEX 697
emote_loud_target	[&EMT&$a$ sagt $t$ sei zu laut.]

// HASH_VALUE 428E48DF0348EA46
// INDEX 698
emote_loud_nobody	[&EMT&$a$ wird laut.]

// HASH_VALUE D39F201DB7964BD3
// INDEX 699
emote_loud_self	[&EMT&$a$ erhöht die Lautstärke.]

// HASH_VALUE FF8EDBDE33B33B39
// INDEX 700
emote_love_target	[&EMT&$a$ liebt $t$.]

// HASH_VALUE D3C3B0FF50D0B11B
// INDEX 701
emote_love_nobody	[&EMT&$a$ ist verliebt.]

// HASH_VALUE CFFD0F207B0BF26C
// INDEX 702
emote_love_self	[&EMT&$a$ schaut in den Spiegel. Wie schön und liebenswert ich doch bin.]

// HASH_VALUE 83894F4476058451
// INDEX 703
emote_loyal_target	[&EMT&$a$ ist 100% loyal gegenüber $t$.]

// HASH_VALUE EB2BB5A9F0A0C89B
// INDEX 704
emote_loyal_nobody	[&EMT&$a$ is loyal, mutig und wahrheitstreu.]

// HASH_VALUE DABDAEA6F2FC2F61
// INDEX 705
emote_loyal_self_m	[&EMT&$a$ ist nur sich selbst gegenüber loyal.]

// HASH_VALUE DABDAEA6F2FC2F61
// INDEX 706
emote_loyal_self_f	[&EMT&$a$ ist nur sich selbst gegenüber loyal.]

// HASH_VALUE BE0D63D505737672
// INDEX 707
emote_lustful_target	[&EMT&$a$ schenkt $t$ einen leidenschaftlichen und lustvollen Blick.]

// HASH_VALUE E11AC21D3CF6BDA6
// INDEX 708
emote_lustful_nobody_m	[&EMT&$a$ blickt sich voller Lust und Leidenschaft um.]

// HASH_VALUE E11AC21D3CF6BDA6
// INDEX 709
emote_lustful_nobody_f	[&EMT&$a$ blickt sich voller Lust und Leidenschaft um.]

// HASH_VALUE D8F5C61F30037FF0
// INDEX 710
emote_lustful_self_m	[&EMT&$a$ begehrt sich selbst, das hilft seinem Ego.]

// HASH_VALUE 96A4CD1DB8554AF8
// INDEX 711
emote_lustful_self_f	[&EMT&$a$ begehrt sich selbst, das hilft ihrem Ego.]

// HASH_VALUE 9112640189AAC050
// INDEX 712
emote_malevolent_target	[&EMT&$a$ schaut $t$ böswillig an.]

// HASH_VALUE 136CEB2722D4AC59
// INDEX 713
emote_malevolent_nobody	[&EMT&$a$ trägt einen Ausdruck tiefsten Hasses im Gesicht.]

// HASH_VALUE 1DBF6AFE61E0735E
// INDEX 714
emote_malevolent_self	[&EMT&$a$ ist imstande sehr teuflisch zu sein.]

// HASH_VALUE 2A50C220BE30410D
// INDEX 715
emote_malicious_target	[&EMT&$a$ verspottet $t$ mit voller Boshaftigkeit.]

// HASH_VALUE E1C3170CEAA379E0
// INDEX 716
emote_malicious_nobody	[&EMT&$a$ sucht Ärger.]

// HASH_VALUE F24AEF4C6EA2B11E
// INDEX 717
emote_malicious_self	[&EMT&$a$ hat tatsächlich vor, nun sehr boshaft zu werden!]

// HASH_VALUE C3D3EF1FF6B33705
// INDEX 718
emote_mean_target	[&EMT&$a$ ist gemein zu $t$.]

// HASH_VALUE 142684F2A2309BD3
// INDEX 719
emote_mean_nobody	[&EMT&$a$ ist so gemein.]

// HASH_VALUE 95DF495E4286A0F3
// INDEX 720
emote_mean_self	[&EMT&$a$ ist der gemeinste Homin weit und breit.]

// HASH_VALUE B6BA96ECF6B29DDB
// INDEX 721
emote_megalomaniac_target	[&EMT&$a$ behauptet $t$ sei größenwahnsinnig.]

// HASH_VALUE 5588A07887FBCBF4
// INDEX 722
emote_megalomaniac_nobody	[&EMT&$a$ ist zweifellos der Beste.]

// HASH_VALUE 7DF9ED62D05D42FC
// INDEX 723
emote_megalomaniac_self	[&EMT&$a$ sagt, "Ich bin die Nummer Eins. Da gibt es keinen Zweifel."]

// HASH_VALUE C363EF1ED4433705
// INDEX 724
emote_merciful_target	[&EMT&$a$ ist gnädig zu $t$.]

// HASH_VALUE C697EFD07407E78C
// INDEX 725
emote_merciful_nobody	[&EMT&$a$ ist gnädig.]

// HASH_VALUE 42E9BD86B6C49733
// INDEX 726
emote_merciful_self_m	[&EMT&$a$ ist gnädig zu sich selbst.]

// HASH_VALUE 42E9BD86B6C49733
// INDEX 727
emote_merciful_self_f	[&EMT&$a$ ist gnädig zu sich selbst.]

// HASH_VALUE 328C009BB2AF20A1
// INDEX 728
emote_mischievous_target	[&EMT&$a$ lächelt $t$ voller Schadenfreude an.]

// HASH_VALUE A1F24B0ED07379E6
// INDEX 729
emote_mischievous_nobody	[&EMT&$a$ plant etwas.]

// HASH_VALUE 563E00ABDDF9ADC9
// INDEX 730
emote_mischievous_self	[&EMT&$a$ hat etwas im Sinn und den Plan dafür schon in der Hand.]

// HASH_VALUE 079FB7D8D1A8E4FF
// INDEX 731
emote_mocking_target_m	[&EMT&$a$ äfft $t$ nach und tut alles was er macht.]

// HASH_VALUE 58F008CC8F8814B2
// INDEX 732
emote_mocking_target_f	[&EMT&$a$ äfft $t$ nach und tut alles was sie macht.]

// HASH_VALUE 2856822618EA2FE2
// INDEX 733
emote_mocking_nobody_m	[&EMT&$a$ äfft die Leute in der Nähe nach.]

// HASH_VALUE 2856822618EA2FE2
// INDEX 734
emote_mocking_nobody_f	[&EMT&$a$ äfft die Leute in der Nähe nach.]

// HASH_VALUE 75D4D451C9056050
// INDEX 735
emote_mocking_self_m	[&EMT&$a$ äfft sich selbst nach, eine perfekte Imitation.]

// HASH_VALUE 75D4D451C9056050
// INDEX 736
emote_mocking_self_f	[&EMT&$a$ äfft sich selbst nach, eine perfekte Imitation.]

// HASH_VALUE A1A9C03799703695
// INDEX 737
emote_nervous_target_mm	[&EMT&$a$ sagt $t$ er mache ihn nervös.]

// HASH_VALUE ED9E983B86F6FE5E
// INDEX 738
emote_nervous_target_mf	[&EMT&$a$ sagt $t$ sie mache ihn nervös.]

// HASH_VALUE 23A9C03799701296
// INDEX 739
emote_nervous_target_fm	[&EMT&$a$ sagt $t$ er mache sie nervös.]

// HASH_VALUE ED9E983B86660268
// INDEX 740
emote_nervous_target_ff	[&EMT&$a$ sagt $t$ sie mache sie nervös.]

// HASH_VALUE 2563331E6E3A8365
// INDEX 741
emote_nervous_nobody	[&EMT&$a$ schreitet nervös umher.]

// HASH_VALUE 9072E0953A45BF66
// INDEX 742
emote_nervous_self_m	[&EMT&$a$ macht sich selbst nervös.]

// HASH_VALUE 9072E0953A45BF66
// INDEX 743
emote_nervous_self_f	[&EMT&$a$ macht sich selbst nervös.]

// HASH_VALUE 4FAC4A18BB47F02C
// INDEX 744
emote_neutral_target	[&EMT&$a$ ist diesbezüglich neutral gestimmt, $t$.]

// HASH_VALUE A5631B0E95566198
// INDEX 745
emote_neutral_nobody	[&EMT&$a$ ist neutral.]

// HASH_VALUE 8EFE79BFB2B0B44F
// INDEX 746
emote_neutral_self	[&EMT&$a$ verweigert sich, Stellung zu beziehen.]

// HASH_VALUE A163EB525BD41071
// INDEX 747
emote_nice_target_m	[&EMT&$a$ sagt $t$ wie nett er ist.]

// HASH_VALUE 24450451D9402568
// INDEX 748
emote_nice_target_f	[&EMT&$a$ sagt $t$ wie nett sie ist.]

// HASH_VALUE DD6F021BCAD06B06
// INDEX 749
emote_nice_nobody	[&EMT&$a$ ist nett.]

// HASH_VALUE 9BA0B6A0FE92FDEF
// INDEX 750
emote_nice_self_m	[&EMT&$a$ ist einer der nettesten Homins überhaupt.]

// HASH_VALUE DBA45DF76181DCFB
// INDEX 751
emote_nice_self_f	[&EMT&$a$ ist eine der nettesten Homins überhaupt.]

// HASH_VALUE 938B8D2A7B5F5576
// INDEX 752
emote_noclue_target_m	[&EMT&$a$ deutet $t$ gegenüber ein Achselzucken an, da er keine Ahnung hat.]

// HASH_VALUE 545C6135B3109678
// INDEX 753
emote_noclue_target_f	[&EMT&$a$ deutet $t$ gegenüber ein Achselzucken an, da sie keine Ahnung hat.]

// HASH_VALUE D34E031B072547FB
// INDEX 754
emote_noclue_nobody	[&EMT&$a$ hat keine Ahnung.]

// HASH_VALUE 235588E138E962D8
// INDEX 755
emote_noclue_self	[&EMT&$a$ ist ahnungslos.]

// HASH_VALUE A341F56B3CD184D2
// INDEX 756
emote_none_target	[&EMT&$a$ ist nicht in der Stimmung für $t$s Kapriolen.]

// HASH_VALUE 5B2A3DF57C01CC90
// INDEX 757
emote_none_nobody	[&EMT&$a$ ist nicht in der Stimmung für igendwas.]

// HASH_VALUE BE6A651FD2ECA9FD
// INDEX 758
emote_none_self	[&EMT&$a$ hat sich noch nicht entschieden etwas zu tun.]

// HASH_VALUE C0CC53BAB2BB73A6
// INDEX 759
emote_nostalgic_target	[&EMT&$a$ schwelgt mit $t$ in Erinnerungen.]

// HASH_VALUE D50763F43EDCCD07
// INDEX 760
emote_nostalgic_nobody	[&EMT&$a$ wird ganz nostalgisch und möchte ein Geschichte erzählen.]

// HASH_VALUE 66F6D3969579F332
// INDEX 761
emote_nostalgic_self_m	[&EMT&$a$ schwelgt in Erinnerungen.]

// HASH_VALUE 66F6D3969579F332
// INDEX 762
emote_nostalgic_self_f	[&EMT&$a$ schwelgt in Erinnerungen.]

// HASH_VALUE 11D348FD45996756
// INDEX 763
emote_obnoxious_target	[&EMT&$a$ findet $t$ ekelerregend.]

// HASH_VALUE 0226C7D553A20BD8
// INDEX 764
emote_obnoxious_nobody	[&EMT&$a$ ekelt sich.]

// HASH_VALUE 1B8DA9840895EB28
// INDEX 765
emote_obnoxious_self_m	[&EMT&$a$ ekelt sich vor sich selbst.]

// HASH_VALUE 1B8DA9840895EB28
// INDEX 766
emote_obnoxious_self_f	[&EMT&$a$ ekelt sich vor sich selbst.]

// HASH_VALUE 9CF386B1E22D166B
// INDEX 767
emote_obscure_target	[&EMT&$a$ beeindruckt $t$ mit obskuren Fakten.]

// HASH_VALUE 3B3A377C88B81BFD
// INDEX 768
emote_obscure_nobody	[&EMT&$a$ hat einen Sinn fürs Obskure.]

// HASH_VALUE 99B2AEECA89317FC
// INDEX 769
emote_obscure_self	[&EMT&$a$ kennt einige wirklich obskure Dinge.]

// HASH_VALUE 948917CBD1C4AAD4
// INDEX 770
emote_obsessed_target	[&EMT&$a$ ist von $t$ besessen.]

// HASH_VALUE 269CBB16CC82E1FE
// INDEX 771
emote_obsessed_nobody	[&EMT&$a$ ist von etwas oder jemandem wirklich besessen.]

// HASH_VALUE 489A03CCA7E88808
// INDEX 772
emote_obsessed_self	[&EMT&$a$ schaut etwas gedankenverloren aus, vielleicht ist er gerade von etwas besessen.]

// HASH_VALUE 14835C485B905A62
// INDEX 773
emote_offended_target	[&EMT&$a$ wurde von $t$ beleidigt.]

// HASH_VALUE 236726030591A1FA
// INDEX 774
emote_offended_nobody	[&EMT&$a$ ist durch die Situation wirklich beleidigt.]

// HASH_VALUE 08B422EFF10003AD
// INDEX 775
emote_offended_self	[&EMT&$a$ ist offensichtlich beleidigt worden.]

// HASH_VALUE B3EDB1E3CA3E3D73
// INDEX 776
emote_optimistic_target	[&EMT&$a$ sagt $t$ es hätte auch schlimmer kommen können.]

// HASH_VALUE E2172C1E81E8562A
// INDEX 777
emote_optimistic_nobody	[&EMT&$a$ bleibt optimistisch.]

// HASH_VALUE 09B5AE63BED2ACFF
// INDEX 778
emote_optimistic_self	[&EMT&$a$ denkt sich, dass alles funktionieren wird.]

// HASH_VALUE 28A317260F169B98
// INDEX 779
emote_over_target	[&EMT&$a$ ist über $t$ hinweg.]

// HASH_VALUE 708CBD04C8C472FC
// INDEX 780
emote_over_nobody	[&EMT&$a$ sagt, "Komm darüber hinweg."]

// HASH_VALUE 74FC118AA7DEAD56
// INDEX 781
emote_over_self_m	[&EMT&$a$ sagt sich selbst,er müsse darüber hinweg kommen.]

// HASH_VALUE A3D3D7F12CF74513
// INDEX 782
emote_over_self_f	[&EMT&$a$ sagt sich selbst, sie müsse darüber hinweg kommen.]

// HASH_VALUE 8A16BCC0770E554E
// INDEX 783
emote_pacific_target	[&EMT&$a$ sagt zu $t$ "Entspann dich, Homin. Schaue den Wellen und der Brandung zu."]

// HASH_VALUE 8E1BC971FE02F47E
// INDEX 784
emote_pacific_nobody	[&EMT&$a$ schnappt sich eine Welle und surft ein wenig!]

// HASH_VALUE 1BD84658BC04DCBD
// INDEX 785
emote_pacific_self	[&EMT&$a$ hält nach einem schönen Strand Ausschau.]

// HASH_VALUE 7865351368AF78AA
// INDEX 786
emote_painful_target	[&EMT&$a$ bemerkt wie schmerzhaft es ist, $t$.]

